fileDate,sponsorAge,alienAge
2015-01-01,21,22
2015-01-02,68,53
2015-01-05,50,33
2015-01-06,42,23
2015-01-07,40,28
2015-01-08,56,32
2015-01-09,56,48
2015-01-09,47,31
2015-01-13,48,24
2015-01-14,28,28
2015-01-15,50,40
2015-01-16,62,31
2015-01-18,40,32
2015-01-19,34,22
2015-01-19,35,30
2015-01-20,39,47
2015-01-21,43,41
2015-01-21,55,37
2015-01-21,41,33
2015-01-21,28,28
2015-01-22,47,25
2015-01-23,55,30
2015-01-23,42,31
2015-01-25,33,35
2015-01-26,49,36
2015-01-27,28,27
2015-01-28,47,25
2015-01-29,52,32
2015-01-30,53,32
2015-01-31,32,20
2015-02-01,32,38
2015-02-02,43,23
2015-02-02,37,24
2015-02-04,43,36
2015-02-04,57,34
2015-02-04,44,37
2015-02-05,43,21
2015-02-08,46,31
2015-02-09,65,45
2015-02-10,42,42
2015-02-10,58,32
2015-02-11,36,26
2015-02-12,59,26
2015-02-13,34,28
2015-02-14,44,24
2015-02-14,67,19
2015-02-14,35,34
2015-02-15,59,28
2015-02-15,40,37
2015-02-15,41,30
2015-02-16,40,38
2015-02-17,25,27
2015-02-17,64,41
2015-02-17,31,20
2015-02-18,52,18
2015-02-18,48,34
2015-02-18,29,38
2015-02-19,43,34
2015-02-21,40,27
2015-02-23,52,29
2015-02-23,31,25
2015-02-26,38,35
2015-02-26,51,34
2015-02-28,26,26
2015-03-01,49,25
2015-03-01,53,25
2015-03-01,48,39
2015-03-02,52,24
2015-03-02,24,25
2015-03-03,56,23
2015-03-03,26,28
2015-03-03,49,30
2015-03-04,35,23
2015-03-04,21,23
2015-03-05,41,32
2015-03-08,31,19
2015-03-08,25,23
2015-03-08,50,93
2015-03-09,65,34
2015-03-09,28,26
2015-03-09,36,33
2015-03-10,57,25
2015-03-10,29,29
2015-03-11,41,33
2015-03-11,60,30
2015-03-11,52,34
2015-03-11,35,39
2015-03-12,58,40
2015-03-12,46,27
2015-03-12,49,28
2015-03-13,29,29
2015-03-13,42,32
2015-03-14,32,30
2015-03-14,20,19
2015-03-15,27,24
2015-03-16,51,21
2015-03-20,32,29
2015-03-21,49,26
2015-03-23,37,29
2015-03-23,38,35
2015-03-24,67,27
2015-03-26,53,43
2015-03-27,28,33
2015-03-28,46,36
2015-03-28,46,29
2015-03-29,38,28
2015-04-01,23,24
2015-04-01,31,36
2015-04-02,58,23
2015-04-05,47,26
2015-04-07,58,31
2015-04-07,36,41
2015-04-09,21,22
2015-04-12,54,49
2015-04-12,30,24
2015-04-13,42,32
2015-04-14,50,39
2015-04-16,25,21
2015-04-19,33,29
2015-04-20,72,33
2015-04-22,32,39
2015-04-22,27,30
2015-04-23,42,23
2015-04-24,23,25
2015-04-24,23,32
2015-04-24,28,28
2015-04-25,32,30
2015-04-26,33,21
2015-04-28,39,26
2015-04-29,64,56
2015-04-29,51,35
2015-04-30,36,34
2015-04-30,24,30
2015-04-30,59,52
2015-05-04,62,31
2015-05-05,34,35
2015-05-06,44,31
2015-05-06,48,40
2015-05-08,66,24
2015-05-08,42,30
2015-05-11,42,29
2015-05-11,19,19
2015-05-12,36,28
2015-05-13,35,24
2015-05-17,64,36
2015-05-18,31,38
2015-05-19,49,21
2015-05-21,31,25
2015-05-24,25,22
2015-05-24,55,27
2015-05-25,40,33
2015-05-26,45,31
2015-05-27,61,30
2015-05-27,23,21
2015-05-28,49,36
2015-05-31,36,32
2015-05-31,39,29
2015-05-31,57,34
2015-06-01,23,19
2015-06-02,53,37
2015-06-02,52,31
2015-06-02,49,33
2015-06-03,23,29
2015-06-03,44,25
2015-06-04,44,24
2015-06-05,40,36
2015-06-06,38,24
2015-06-06,48,41
2015-06-07,28,25
2015-06-07,35,35
2015-06-08,44,43
2015-06-08,40,20
2015-06-08,58,27
2015-06-09,35,35
2015-06-12,52,43
2015-06-14,20,25
2015-06-15,42,23
2015-06-16,55,44
2015-06-16,34,26
2015-06-17,32,33
2015-06-17,43,25
2015-06-18,52,29
2015-06-19,51,27
2015-06-19,27,21
2015-06-19,23,27
2015-06-20,49,24
2015-06-22,41,26
2015-06-23,48,44
2015-06-28,28,29
2015-06-30,25,24
2015-06-30,51,21
2015-07-02,53,57
2015-07-04,41,40
2015-07-04,48,35
2015-07-05,31,21
2015-07-06,47,36
2015-07-06,47,36
2015-07-06,47,36
2015-07-09,40,25
2015-07-09,47,27
2015-07-10,37,25
2015-07-10,38,30
2015-07-10,54,38
2015-07-10,28,24
2015-07-10,53,47
2015-07-10,29,28
2015-07-11,44,34
2015-07-11,29,24
2015-07-12,44,33
2015-07-12,31,25
2015-07-14,41,29
2015-07-14,34,24
2015-07-14,41,35
2015-07-15,44,44
2015-07-18,60,36
2015-07-19,20,23
2015-07-20,42,42
2015-07-20,34,28
2015-07-21,70,44
2015-07-21,57,40
2015-07-21,61,22
2015-07-22,25,24
2015-07-22,48,31
2015-07-23,43,30
2015-07-24,17,17
2015-07-25,51,28
2015-07-25,58,19
2015-07-26,24,21
2015-07-27,53,23
2015-07-27,48,40
2015-07-28,55,39
2015-07-29,22,19
2015-07-30,36,34
2015-07-30,39,25
2015-07-31,63,52
2015-08-01,72,53
2015-08-01,53,35
2015-08-01,54,24
2015-08-01,49,25
2015-08-01,39,28
2015-08-03,52,47
2015-08-03,23,21
2015-08-04,59,45
2015-08-04,35,34
2015-08-04,29,26
2015-08-06,49,46
2015-08-06,44,24
2015-08-06,50,24
2015-08-08,30,29
2015-08-08,29,32
2015-08-10,34,21
2015-08-10,48,36
2015-08-10,27,27
2015-08-10,59,47
2015-08-11,47,20
2015-08-11,51,24
2015-08-11,56,28
2015-08-12,52,32
2015-08-14,53,45
2015-08-14,35,21
2015-08-15,53,35
2015-08-15,46,26
2015-08-15,20,24
2015-08-15,51,31
2015-08-17,42,33
2015-08-19,25,22
2015-08-21,41,26
2015-08-23,22,25
2015-08-23,47,25
2015-08-23,22,29
2015-08-27,48,20
2015-08-27,27,31
2015-08-27,56,29
2015-08-28,44,27
2015-08-29,83,54
2015-08-29,41,40
2015-08-31,83,54
2015-08-31,36,34
2015-09-01,43,31
2015-09-03,25,21
2015-09-03,64,32
2015-09-05,29,25
2015-09-05,71,31
2015-09-07,57,26
2015-09-07,53,30
2015-09-07,30,27
2015-09-08,36,25
2015-09-09,27,27
2015-09-09,48,22
2015-09-09,25,25
2015-09-10,41,28
2015-09-11,41,27
2015-09-12,46,22
2015-09-13,46,42
2015-09-14,47,31
2015-09-15,74,29
2015-09-15,60,58
2015-09-15,27,33
2015-09-16,34,27
2015-09-16,48,40
2015-09-19,62,27
2015-09-19,55,27
2015-09-19,55,31
2015-09-19,48,42
2015-09-19,35,36
2015-09-20,25,32
2015-09-21,28,29
2015-09-21,35,36
2015-09-21,26,22
2015-09-22,59,44
2015-09-22,38,20
2015-09-22,24,24
2015-09-22,60,31
2015-09-24,60,24
2015-09-24,62,22
2015-09-24,57,41
2015-09-25,40,18
2015-09-25,38,34
2015-09-26,53,26
2015-09-28,39,28
2015-09-29,29,23
2015-09-29,70,47
2015-09-29,48,30
2015-09-30,45,22
2015-10-01,53,25
2015-10-02,42,26
2015-10-02,27,26
2015-10-03,47,32
2015-10-04,56,32
2015-10-04,26,23
2015-10-05,57,32
2015-10-06,27,31
2015-10-07,59,39
2015-10-07,54,40
2015-10-08,52,38
2015-10-08,19,25
2015-10-11,24,20
2015-10-12,36,32
2015-10-12,43,25
2015-10-14,36,30
2015-10-14,67,29
2015-10-14,36,32
2015-10-14,48,22
2015-10-14,37,24
2015-10-14,41,28
2015-10-14,30,26
2015-10-17,27,24
2015-10-18,63,40
2015-10-19,50,40
2015-10-20,50,36
2015-10-20,65,39
2015-10-21,53,39
2015-10-23,54,35
2015-10-23,51,38
2015-10-24,34,27
2015-10-25,25,25
2015-10-26,60,29
2015-10-27,55,21
2015-10-28,50,25
2015-10-28,31,24
2015-10-31,56,29
2015-11-02,49,23
2015-11-02,30,22
2015-11-08,30,25
2015-11-09,43,30
2015-11-09,81,69
2015-11-10,49,45
2015-11-10,20,22
2015-11-11,34,38
2015-11-11,43,26
2015-11-12,25,21
2015-11-13,37,28
2015-11-15,30,32
2015-11-16,46,43
2015-11-16,30,24
2015-11-16,48,40
2015-11-17,46,36
2015-11-17,47,23
2015-11-18,39,23
2015-11-20,34,27
2015-11-20,62,49
2015-11-23,26,28
2015-11-24,51,38
2015-11-24,44,26
2015-11-25,44,38
2015-11-26,45,33
2015-12-01,52,19
